id,sample_id,name,application_label,is_system_app,version_name
299707772,7457895,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707800,7457895,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707812,7457896,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707840,7457896,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707852,7457897,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707880,7457897,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707892,7457898,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707920,7457898,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707932,7457899,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299707960,7457899,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299707972,7457900,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708001,7457900,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708013,7457901,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708043,7457901,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708056,7457902,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708084,7457902,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708096,7457903,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708126,7457903,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708139,7457904,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708169,7457904,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708182,7457905,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708211,7457905,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708223,7457906,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708252,7457906,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708264,7457907,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708294,7457907,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708306,7457908,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708336,7457908,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708348,7457909,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708378,7457909,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708392,7457910,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708421,7457910,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708432,7457911,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708462,7457911,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708473,7457912,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708504,7457912,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708514,7457913,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708545,7457913,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708555,7457914,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708585,7457914,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708595,7457915,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708622,7457915,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708635,7457916,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299708670,7457917,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708681,7457918,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299708711,7457917,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708746,7457919,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708775,7457919,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708788,7457920,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708817,7457920,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708829,7457921,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708858,7457921,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708870,7457922,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708899,7457922,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708911,7457923,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299708940,7457923,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299708952,7457924,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299708988,7457925,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299709024,7457926,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709053,7457926,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709065,7457927,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299709100,7457928,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709129,7457928,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709139,7457929,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709167,7457929,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709177,7457930,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709205,7457930,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709215,7457931,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709243,7457931,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709254,7457932,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299709286,7457933,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709314,7457933,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709325,7457934,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299709357,7457935,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299709389,7457936,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709418,7457936,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709428,7457937,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299709463,7457938,com.android.bluetooth,"Bluetooth Share",1,5.1.1
299709537,7457939,com.android.bluetooth,Bluetooth,1,6.0.1
299709539,7457940,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709568,7457940,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709617,7457941,com.android.bluetooth,Bluetooth,1,6.0.1
299709658,7457942,com.android.bluetooth,Bluetooth,1,6.0.1
299709660,7457943,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709689,7457943,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709738,7457944,com.android.bluetooth,Bluetooth,1,6.0.1
299709779,7457945,com.android.bluetooth,Bluetooth,1,6.0.1
299709781,7457946,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709810,7457946,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709859,7457947,com.android.bluetooth,Bluetooth,1,6.0.1
299709861,7457948,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709890,7457948,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299709939,7457949,com.android.bluetooth,Bluetooth,1,6.0.1
299709941,7457950,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299709971,7457950,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710019,7457951,com.android.bluetooth,Bluetooth,1,6.0.1
299710059,7457952,com.android.bluetooth,Bluetooth,1,6.0.1
299710061,7457953,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710090,7457953,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710138,7457954,com.android.bluetooth,Bluetooth,1,6.0.1
299710140,7457955,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710169,7457955,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710218,7457956,com.android.bluetooth,Bluetooth,1,6.0.1
299710261,7457957,com.android.bluetooth,Bluetooth,1,6.0.1
299710262,7457958,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710291,7457958,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710341,7457959,com.android.bluetooth,Bluetooth,1,6.0.1
299710343,7457960,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710372,7457960,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710459,7457962,com.android.bluetooth,Bluetooth,1,6.0.1
299710461,7457963,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710490,7457963,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710541,7457964,com.android.bluetooth,Bluetooth,1,6.0.1
299710553,7457966,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710599,7457966,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710622,7457965,com.android.bluetooth,Bluetooth,1,6.0.1
299710664,7457967,com.android.bluetooth,Bluetooth,1,6.0.1
299710705,7457968,com.android.bluetooth,Bluetooth,1,6.0.1
299710707,7457969,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710736,7457969,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710785,7457970,com.android.bluetooth,Bluetooth,1,6.0.1
299710826,7457971,com.android.bluetooth,Bluetooth,1,6.0.1
299710828,7457972,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299710857,7457972,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299710867,7457973,com.android.bluetooth,"Bluetooth Share",1,6.0.1
